name,node_id,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,1,5,pretimed_signal,30,0.000000,0.000000,"<Point><coordinates>0.000000,0.000000</coordinates></Point>"
,2,5,pretimed_signal,30,0.621371,0.000000,"<Point><coordinates>0.621371,0.000000</coordinates></Point>"
,3,1,no_control,0,0.683000,0.000000,"<Point><coordinates>0.683000,0.000000</coordinates></Point>"
,4,1,no_control,0,0.700000,-0.100000,"<Point><coordinates>0.700000,-0.100000</coordinates></Point>"
,5,5,pretimed_signal,30,0.745000,-0.030000,"<Point><coordinates>0.745000,-0.030000</coordinates></Point>"
,6,1,no_control,0,0.810000,0.000000,"<Point><coordinates>0.810000,0.000000</coordinates></Point>"
,7,1,no_control,0,0.810000,-0.030000,"<Point><coordinates>0.810000,-0.030000</coordinates></Point>"
,8,1,no_control,0,0.900000,0.000000,"<Point><coordinates>0.900000,0.000000</coordinates></Point>"
,9,1,no_control,0,1.114584,0.000000,"<Point><coordinates>1.114584,0.000000</coordinates></Point>"
,10,5,pretimed_signal,30,1.180605,0.000000,"<Point><coordinates>1.180605,0.000000</coordinates></Point>"
,11,5,pretimed_signal,30,1.242742,0.000000,"<Point><coordinates>1.242742,0.000000</coordinates></Point>"
,12,1,no_control,0,1.308763,0.000000,"<Point><coordinates>1.308763,0.000000</coordinates></Point>"
,13,1,no_control,0,0.000000,-0.100000,"<Point><coordinates>0.000000,-0.100000</coordinates></Point>"
,14,1,no_control,0,0.200000,-0.250000,"<Point><coordinates>0.200000,-0.250000</coordinates></Point>"
,15,1,no_control,0,0.600000,-0.250000,"<Point><coordinates>0.600000,-0.250000</coordinates></Point>"
,16,1,no_control,0,1.367016,0.000000,"<Point><coordinates>1.367016,0.000000</coordinates></Point>"
,17,5,pretimed_signal,30,0.310686,0.000000,"<Point><coordinates>0.310686,0.000000</coordinates></Point>"
,18,5,pretimed_signal,30,0.000000,0.310686,"<Point><coordinates>0.000000,0.310686</coordinates></Point>"
,19,5,pretimed_signal,30,0.310686,0.310686,"<Point><coordinates>0.310686,0.310686</coordinates></Point>"
,20,5,pretimed_signal,30,0.621371,0.310686,"<Point><coordinates>0.621371,0.310686</coordinates></Point>"
,21,5,pretimed_signal,30,0.932057,0.310686,"<Point><coordinates>0.932057,0.310686</coordinates></Point>"
,22,5,pretimed_signal,30,1.180605,0.310686,"<Point><coordinates>1.180605,0.310686</coordinates></Point>"
,23,5,pretimed_signal,30,1.242742,0.310686,"<Point><coordinates>1.242742,0.310686</coordinates></Point>"
,24,5,pretimed_signal,30,0.000000,0.621371,"<Point><coordinates>0.000000,0.621371</coordinates></Point>"
,25,5,pretimed_signal,30,0.310686,0.621371,"<Point><coordinates>0.310686,0.621371</coordinates></Point>"
,26,5,pretimed_signal,30,0.621371,0.621371,"<Point><coordinates>0.621371,0.621371</coordinates></Point>"
,27,5,pretimed_signal,30,0.932057,0.621371,"<Point><coordinates>0.932057,0.621371</coordinates></Point>"
,28,5,pretimed_signal,30,1.180605,0.621371,"<Point><coordinates>1.180605,0.621371</coordinates></Point>"
,29,5,pretimed_signal,30,1.242742,0.621371,"<Point><coordinates>1.242742,0.621371</coordinates></Point>"
,30,1,no_control,0,1.308763,0.621371,"<Point><coordinates>1.308763,0.621371</coordinates></Point>"
,31,1,no_control,0,1.367016,0.621371,"<Point><coordinates>1.367016,0.621371</coordinates></Point>"
,32,1,no_control,0,0.000000,0.807782,"<Point><coordinates>0.000000,0.807782</coordinates></Point>"
,33,5,pretimed_signal,30,0.186411,0.994194,"<Point><coordinates>0.186411,0.994194</coordinates></Point>"
,34,5,pretimed_signal,30,0.310686,0.932056,"<Point><coordinates>0.310686,0.932056</coordinates></Point>"
,35,5,pretimed_signal,30,0.414247,0.828495,"<Point><coordinates>0.414247,0.828495</coordinates></Point>"
,36,5,pretimed_signal,30,0.621371,0.932056,"<Point><coordinates>0.621371,0.932056</coordinates></Point>"
,37,5,pretimed_signal,30,0.932056,0.932056,"<Point><coordinates>0.932056,0.932056</coordinates></Point>"
,38,5,pretimed_signal,30,1.180605,0.932056,"<Point><coordinates>1.180605,0.932056</coordinates></Point>"
,39,5,pretimed_signal,30,1.242742,0.932056,"<Point><coordinates>1.242742,0.932056</coordinates></Point>"
,40,5,pretimed_signal,30,0.434960,1.242742,"<Point><coordinates>0.434960,1.242742</coordinates></Point>"
,41,5,pretimed_signal,30,0.621371,1.242742,"<Point><coordinates>0.621371,1.242742</coordinates></Point>"
