from_node_id,to_node_id,type_code,link_type,link_length,start_time_in_min,end_time_in_min,total_link_volume,lane_capacity_in_vhc_per_hour,link_capacity_in_vhc_per_hour,volume_over_capacity_ratio,avg_waiting_time_on_loading_buffer_(min), speed_limit,speed,free-flow_travel_time,travel_time,percentage_of_speed_limit, level_of_service, sensor_data_flag, sensor_link_volume, simulated_link_volume, measurement_error, abs_measurement_error_percentage, simulated_AADT, TotalEnergy_(J / hr), CO2_(g / hr), NOX_(g / hr), CO_(g / hr), HC_(g / hr, PM_(g / hr), PM_2_5(g / hr),sov_volume, hov_volume, truck_volume, intermodal_volume,passenger car,passenger truck,light commercial truck,single unit short-haul truck,combination long-haul truck,geometry, from_node_id,to_node_id,vol_h1,vol_h2,vol_h3,vol_h4,vol_h5,vol_h6,vol_h7,vol_h8,vol_h9,vol_h10,vol_h11,vol_h12,vol_h13,vol_h14,vol_h15,vol_h16,vol_h17,vol_h18,vol_h19,vol_h20,vol_h21,vol_h22,vol_h23,vol_h24,speed_h1,speed_h2,speed_h3,speed_h4,speed_h5,speed_h6,speed_h7,speed_h8,speed_h9,speed_h10,speed_h11,speed_h12,speed_h13,speed_h14,speed_h15,speed_h16,speed_h17,speed_h18,speed_h19,speed_h20,speed_h21,speed_h22,speed_h23,speed_h24,vol_d1,vol_d2,vol_d3,vol_d4,vol_d5,vol_d6,vol_d7,vol_d8,vol_d9,vol_d10,spd_d1,spd_d2,spd_d3,spd_d4,spd_d5,spd_d6,spd_d7,spd_d8,spd_d9,spd_d10
1,13,a,Principal arterial,0.1,390,570,0,1000,3000,0,0,45,45,0.1333,0.1333,100,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"<LineString><coordinates>-0.002841,-0.000000,0.0 -0.002841,-0.100000,0.0</coordinates></LineString>",1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,
13,1,a,Principal arterial,0.1,390,570,1121,1000,3000,0.1246,0,45,44.7298,0.1333,0.1341,99,A,0,0,1121,0,0,0,0,0,0,0,0,0,0,1121,0,0,0,1121,0,0,0,0,"<LineString><coordinates>0.002841,-0.100000,0.0 0.002841,0.000000,0.0</coordinates></LineString>",13,1,0,0,0,0,0,0,0,533,321,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,44.6365,44.9944,44.6003,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,
13,14,a,Principal arterial,0.25,390,570,0,1000,3000,0,0,45,45,0.3333,0.3333,100,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"<LineString><coordinates>-0.001705,-0.102273,0.0 0.198295,-0.252273,0.0</coordinates></LineString>",13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,
14,13,a,Principal arterial,0.25,390,570,1121,1000,3000,0.1246,0,45,44.6258,0.3333,0.3361,99,A,0,0,1121,0,0,0,0,0,0,0,0,0,0,1121,0,0,0,1121,0,0,0,0,"<LineString><coordinates>0.201705,-0.247727,0.0 0.001705,-0.097727,0.0</coordinates></LineString>",14,13,0,0,0,0,0,0,0,534,320,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,44.6707,44.5226,44.6611,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,
14,15,a,Principal arterial,0.4,390,570,0,1000,3000,0,0,45,45,0.5333,0.5333,100,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"<LineString><coordinates>0.200000,-0.252841,0.0 0.600000,-0.252841,0.0</coordinates></LineString>",14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,
15,14,a,Principal arterial,0.4,390,570,1121,1000,3000,0.1246,0,45,44.949,0.5333,0.5339,100,A,0,0,1121,0,0,0,0,0,0,0,0,0,0,1121,0,0,0,1121,0,0,0,0,"<LineString><coordinates>0.600000,-0.247159,0.0 0.200000,-0.247159,0.0</coordinates></LineString>",15,14,0,0,0,0,0,0,0,535,322,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,44.9335,44.9343,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,
15,4,a,Principal arterial,0.1803,390,570,0,1000,3000,0,0,45,45,0.2404,0.2404,100,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"<LineString><coordinates>0.602364,-0.251576,0.0 0.702364,-0.101576,0.0</coordinates></LineString>",15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,
4,15,a,Principal arterial,0.1803,390,570,1121,1000,3000,0.1246,0,45,44.4799,0.2404,0.2432,99,A,0,0,1121,0,0,0,0,0,0,0,0,0,0,1121,0,0,0,1121,0,0,0,0,"<LineString><coordinates>0.697636,-0.098424,0.0 0.597636,-0.248424,0.0</coordinates></LineString>",4,15,0,0,0,0,0,0,0,538,325,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,44.279,44.6872,44.6428,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,
4,7,a,Principal arterial,0.1304,390,570,0,1000,3000,0,0,45,45,0.1738,0.1738,100,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"<LineString><coordinates>0.700000,-0.100000,0.0 0.810000,-0.030000,0.0</coordinates></LineString>",4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,
7,8,a,Principal arterial,0.0949,390,570,0,1000,5000,0,0,45,45,0.1265,0.1265,100,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"<LineString><coordinates>0.810000,-0.030000,0.0 0.900000,0.000000,0.0</coordinates></LineString>",7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,
8,6,a,Principal arterial,0.09,390,570,6755,1000,5000,0.4503,0,45,42.9935,0.12,0.1256,96,A,0,0,6755,0,0,0,0,0,0,0,0,0,0,6755,0,0,0,6755,0,0,0,0,"<LineString><coordinates>0.900000,0.000000,0.0 0.810000,0.000000,0.0</coordinates></LineString>",8,6,0,0,0,0,0,0,895,2363,2233,1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,43.0895,42.572,42.8594,43.9833,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,
6,5,a,Principal arterial,0.075,390,570,1121,1000,3000,0.1246,0,45,44.4435,0.1,0.1013,99,A,0,0,1121,0,0,0,0,0,0,0,0,0,0,1121,0,0,0,1121,0,0,0,0,"<LineString><coordinates>0.810000,0.000000,0.0 0.745000,-0.030000,0.0</coordinates></LineString>",6,5,0,0,0,0,0,0,0,539,329,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,44.6737,44.1879,44.2874,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,
5,4,a,Principal arterial,0.0832,390,570,1121,1000,3000,0.1246,0,45,44.5894,0.111,0.112,99,A,0,0,1121,0,0,0,0,0,0,0,0,0,0,1121,0,0,0,1121,0,0,0,0,"<LineString><coordinates>0.745000,-0.030000,0.0 0.700000,-0.100000,0.0</coordinates></LineString>",5,4,0,0,0,0,0,0,0,539,326,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,44.7849,44.65,44.1014,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,
8,9,a,Principal arterial,0.2146,390,570,0,1000,5000,0,0,45,45,0.2861,0.2861,100,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"<LineString><coordinates>0.900000,-0.002841,0.0 1.114584,-0.002841,0.0</coordinates></LineString>",8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,
