time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_of_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
390,467,0,467,23350,5.9324,
391,956,9,947,24450,6.32366,
392,1445,27,1418,24450,6.74399,
393,1939,80,1859,24700,7.40266,
394,2438,171,2267,24950,7.79206,
395,2921,333,2588,24150,8.44232,
396,3417,611,2806,24800,8.92926,
397,3912,936,2976,24750,9.69036,
398,4404,1300,3104,24600,10.0251,
399,4892,1682,3210,24400,10.707,
400,5404,2065,3339,25600,11.0395,
401,5875,2436,3439,23550,11.9418,
402,6369,2821,3548,24700,12.1136,
403,6856,3204,3652,24350,12.8618,
404,7358,3603,3755,25100,13.3124,
405,7844,3990,3854,24300,13.5123,
406,8327,4376,3951,24150,13.7482,
407,8837,4765,4072,25500,14.0473,
408,9328,5163,4165,24550,14.5285,
409,9810,5547,4263,24100,15.1767,
410,10302,5933,4369,24600,15.3748,
411,10819,6359,4460,25850,15.7248,
412,11311,6773,4538,24600,16.5572,
413,11791,7188,4603,24000,17.0361,
414,12291,7610,4681,25000,17.3188,
415,12792,8037,4755,25050,17.6453,
416,13285,8476,4809,24650,18.1972,
417,13758,8898,4860,23650,18.9679,
418,14269,9316,4953,25550,19.1601,
419,14758,9744,5014,24450,19.4038,
420,15251,10175,5076,24650,19.3763,
421,15737,10604,5133,24300,20.3058,
422,16244,11026,5218,25350,20.2212,
423,16729,11469,5260,24250,20.918,
424,17226,11906,5320,24850,21.2986,
425,17707,12327,5380,24050,22.2452,
426,18208,12756,5452,25050,22.1817,
427,18700,13198,5502,24600,22.4636,
428,19199,13637,5562,24950,22.9974,
429,19684,14076,5608,24250,24.2727,
430,20182,14518,5664,24900,24.1558,
431,20669,14963,5706,24350,24.8232,
432,21174,15379,5795,25250,24.9389,
433,21659,15799,5860,24250,25.81,
434,22142,16206,5936,24150,26.2528,
435,22656,16604,6052,25700,24.851,
436,23146,17012,6134,24500,26.0073,
437,23631,17427,6204,24250,26.1372,
438,24119,17815,6304,24400,26.4412,
439,24618,18216,6402,24950,27.0342,
440,25108,18610,6498,24500,27.784,
441,25598,19003,6595,24500,28.3292,
442,26092,19416,6676,24700,28.1245,
443,26585,19837,6748,24650,28.1504,
444,27077,20259,6818,24600,29.4672,
445,27562,20678,6884,24250,29.3561,
446,28060,21107,6953,24900,30.3689,
447,28565,21528,7037,25250,30.6479,
448,29041,21936,7105,23800,31.1176,
449,29531,22384,7147,24500,31.2207,
450,30029,22811,7218,24900,30.7028,
451,30528,23245,7283,24950,31.1567,
452,31014,23675,7339,24300,31.6425,
453,31509,24107,7402,24750,32.0044,
454,32006,24525,7481,24850,31.9834,
455,32499,24952,7547,24650,32.394,
456,32977,25363,7614,23900,33.2621,
457,33484,25809,7675,25350,33.3332,
458,33989,26252,7737,25250,33.9901,
459,34469,26687,7782,24000,33.9426,
460,34969,27117,7852,25000,34.4914,
461,35449,27557,7892,24000,34.5841,
462,35954,27992,7962,25250,35.064,
463,36440,28425,8015,24300,35.2143,
464,36929,28856,8073,24450,36.6259,
465,37427,29301,8126,24900,34.5062,
466,37921,29738,8183,24700,35.3614,
467,38418,30167,8251,24850,35.6836,
468,38898,30609,8289,24000,36.0347,
469,39399,31031,8368,25050,36.3644,
470,39885,31443,8442,24300,36.5255,
471,40390,31864,8526,25250,36.4257,
472,40877,32282,8595,24350,37.9153,
473,41366,32691,8675,24450,37.668,
474,41867,33097,8770,25050,38.4385,
475,42355,33502,8853,24400,38.0358,
476,42842,33924,8918,24350,39.0894,
477,43338,34343,8995,24800,38.5662,
478,43832,34755,9077,24700,39.1177,
479,44307,35175,9132,23750,39.4897,
480,44820,35588,9232,25650,38.0878,
481,45311,36010,9301,24550,39.1639,
482,45809,36407,9402,24900,38.9677,
483,46297,36819,9478,24400,39.7515,
484,46784,37224,9560,24350,39.4636,
485,47283,37639,9644,24950,39.7992,
486,47775,38062,9713,24600,40.3039,
487,48263,38472,9791,24400,40.8017,
488,48767,38896,9871,25200,40.3532,
489,49248,39314,9934,24050,41.0379,
490,49758,39726,10032,25500,41.0641,
491,50239,40129,10110,24050,41.8081,
492,50734,40560,10174,24750,41.8503,
493,51223,40986,10237,24450,41.8267,
494,51719,41410,10309,24800,42.1113,
495,52213,41809,10404,24700,41.4283,
496,52700,42229,10471,24350,41.8579,
497,53188,42649,10539,24400,41.8232,
498,53684,43074,10610,24800,42.4299,
499,54184,43500,10684,25000,43.2783,
500,54663,43913,10750,23950,42.8125,
501,55165,44345,10820,25100,43.1038,
502,55677,44756,10921,25600,42.7423,
503,56156,45196,10960,23950,44.0262,
504,56649,45637,11012,24650,44.0403,
505,57142,46082,11060,24650,43.6877,
506,57641,46523,11118,24950,43.5693,
507,58126,46960,11166,24250,45.0392,
508,58626,47408,11218,25000,44.529,
509,59105,47858,11247,23950,44.5796,
510,59618,48318,11300,25650,43.6193,
511,60094,48773,11321,23800,45.2125,
512,60599,49224,11375,25250,44.2517,
513,61092,49674,11418,24650,44.6499,
514,61581,50112,11469,24450,44.7676,
515,62067,50558,11509,24300,45.5159,
516,62570,51009,11561,25150,45.4092,
517,63061,51448,11613,24550,45.5817,
518,63556,51897,11659,24750,45.2038,
519,64048,52348,11700,24600,45.7817,
520,64547,52781,11766,24950,46.218,
521,65032,53219,11813,24250,47.0036,
522,65521,53684,11837,24450,45.63,
523,66011,54118,11893,24500,47.135,
524,66511,54562,11949,25000,45.3883,
