time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_of_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
360,54,0,54,1350,3.61093,
361,119,9,110,1625,3.8098,
362,175,26,149,1400,3.91041,
363,277,47,230,2550,4.36355,
364,1784,79,1705,37675,6.31049,
365,1851,124,1727,1675,6.53526,
366,1941,176,1765,2250,6.41363,
367,2005,281,1724,1600,5.75531,
368,2064,545,1519,1475,6.45047,
369,3866,810,3056,45050,7.39778,
370,3960,1066,2894,2350,8.09772,
371,4023,1474,2549,1575,7.94253,
372,4122,1909,2213,2475,7.75469,
373,4187,2252,1935,1625,8.07547,
374,5691,2616,3075,37600,8.59174,
375,5761,2993,2768,1750,9.96626,
376,5856,3325,2531,2375,9.91022,
377,5930,3734,2196,1850,9.65457,
378,6248,4118,2130,7950,7.22073,
379,7787,4438,3349,38475,9.66072,
380,7852,4841,3011,1625,12.2128,
381,7947,5233,2714,2375,10.0472,
382,8047,5630,2417,2500,10.6833,
383,8105,6013,2092,1450,13.3472,
384,9631,6381,3250,38150,10.4671,
385,9727,6761,2966,2400,13.6336,
386,9796,7210,2586,1725,13.3255,
387,9853,7591,2262,1425,15.038,
388,10209,7982,2227,8900,9.09613,
389,11716,8314,3402,37675,11.8597,
390,11784,8709,3075,1700,15.555,
391,11882,9126,2756,2450,12.4773,
392,11983,9561,2422,2525,13.9555,
393,12042,9927,2115,1475,17.9487,
394,13564,10294,3270,38050,12.5048,
395,13652,10670,2982,2200,17.8126,
396,13728,11075,2653,1900,16.3592,
397,14055,11505,2550,8175,10.9136,
398,15600,11868,3732,38625,13.5649,
399,15666,12242,3424,1650,20.3663,
400,15722,12646,3076,1400,22.2553,
401,15824,13071,2753,2550,17.334,
402,15924,13466,2458,2500,16.1361,
403,17440,13855,3585,37900,14.4585,
404,17496,14291,3205,1400,25.8693,
405,17595,14670,2925,2475,19.4473,
406,17649,15068,2581,1350,25.6483,
407,17978,15416,2562,8225,12.3528,
408,19528,15764,3764,38750,15.6536,
409,19593,16127,3466,1625,24.5709,
410,19646,16516,3130,1325,28.2695,
411,19747,16887,2860,2525,20.8326,
412,19843,17337,2506,2400,18.3846,
413,21360,17743,3617,37925,16.438,
414,21458,18059,3399,2450,23.2062,
415,21517,18470,3047,1475,27.8684,
416,21837,18908,2929,8000,14.5162,
417,21929,19273,2656,2300,24.0552,
418,23453,19556,3897,38100,17.6201,
419,23507,19937,3570,1350,32.7627,
420,23589,20373,3216,2050,25.7484,
421,23676,20741,2935,2175,26.5276,
422,23741,21159,2582,1625,28.3454,
423,25287,21537,3750,38650,18.4283,
424,25388,21928,3460,2525,25.5034,
425,25443,22325,3118,1375,34.7717,
426,25766,22725,3041,8075,15.9818,
427,25858,23082,2776,2300,27.4988,
428,27383,23412,3971,38125,19.4199,
429,27440,23759,3681,1425,36.2528,
430,27539,24196,3343,2475,27.4954,
431,27594,24635,2959,1375,36.7797,
432,29120,25024,4096,38150,19.6952,
433,29220,25407,3813,2500,29.8606,
434,29316,25771,3545,2400,25.9033,
435,29635,26187,3448,7975,18.1196,
436,29692,26561,3131,1425,38.2498,
437,31248,26895,4353,38900,21.2265,
438,31302,27256,4046,1350,43.1144,
439,31372,27648,3724,1750,33.4775,
440,31463,28057,3406,2275,32.5645,
441,31529,28452,3077,1650,35.5208,
442,33034,28837,4197,37625,21.6019,
443,33134,29193,3941,2500,32.4184,
444,33236,29601,3635,2550,27.1027,
445,33562,29995,3567,8150,20.1807,
446,33652,30360,3292,2250,35.3174,
447,35166,30707,4459,37850,22.394,
448,35221,31100,4121,1375,47.1953,
449,35288,31441,3847,1675,39.0914,
450,35392,31888,3504,2600,31.7604,
451,35444,32349,3095,1300,49.6444,
452,36961,32676,4285,37925,23.2519,
453,37052,33043,4009,2275,39.0506,
454,37374,33460,3914,8050,21.7949,
455,37472,33817,3655,2450,30.0174,
456,37581,34126,3455,2725,32.769,
457,39087,34496,4591,37650,23.9724,
458,39151,34820,4331,1600,44.2089,
459,39242,35297,3945,2275,40.1505,
460,39316,35793,3523,1850,39.0121,
461,39371,36170,3201,1375,52.1929,
462,40927,36562,4365,38900,24.731,
463,40981,36912,4069,1350,54.5415,
464,41303,37351,3952,8050,23.251,
465,41396,37708,3688,2325,34.1541,
466,41503,38037,3466,2675,37.2176,
467,43007,38374,4633,37600,25.4616,
468,43081,38750,4331,1850,43.8237,
469,43183,39169,4014,2550,39.2795,
470,43236,39631,3605,1325,57.7845,
471,44762,39984,4778,38150,25.763,
472,44854,40352,4502,2300,45.8879,
473,45172,40706,4466,7950,24.6928,
474,45228,41151,4077,1400,57.9517,
475,45328,41538,3790,2500,39.5369,
476,46874,41882,4992,38650,25.3802,
477,46940,42228,4712,1650,52.2297,
478,47033,42637,4396,2325,45.9225,
479,47102,43048,4054,1725,49.3404,
480,47173,43422,3751,1775,53.1891,
481,48696,43726,4970,38075,25.8222,
482,48794,44134,4660,2450,47.1072,
483,49118,44504,4614,8100,25.6722,
484,49176,44983,4193,1450,60.3721,
485,49281,45356,3925,2625,41.191,
486,50796,45680,5116,37875,26.5505,
487,50895,46075,4820,2475,41.0514,
488,51001,46503,4498,2650,45.3975,
489,51059,46926,4133,1450,63.3996,
490,51122,47329,3793,1575,58.4044,
491,52665,47670,4995,38575,26.9011,
492,53001,48108,4893,8400,25.3973,
493,53057,48471,4586,1400,67.1688,
494,53122,48853,4269,1625,57.864,
495,53216,49242,3974,2350,49.5909,
496,54734,49587,5147,37950,26.695,
497,54839,49938,4901,2625,43.9128,
498,54944,50349,4595,2625,47.575,
499,55002,50784,4218,1450,67.2463,
500,55070,51198,3872,1700,58.1954,
501,56613,51554,5059,38575,26.8205,
502,56939,51927,5012,8150,27.9849,
503,56998,52313,4685,1475,68.7157,
504,57104,52722,4382,2650,45.7048,
505,58627,53064,5563,38075,27.3043,
