agent_id,tour_id,from_zone_id,to_zone_id,from_origin_node_id,to_destination_node_id,departure_time_in_min,end_time_in_min,travel_time_in_min,demand_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
0,0,16,94,16,94,420.08,424.50,4.42,1,1,10.00,1,5,3.96,
1,1,57,94,57,94,420.08,425.30,5.22,1,1,10.00,1,0,3.37,
2,2,104,94,104,94,420.08,422.20,2.12,1,1,10.00,1,15,1.68,
3,3,92,94,92,94,420.08,421.10,1.02,1,1,10.00,1,10,0.56,
4,4,77,94,77,94,420.08,424.60,4.52,1,1,10.00,1,15,3.92,
5,5,104,475,104,475,420.09,425.30,5.21,1,1,10.00,1,15,4.17,
6,6,104,94,104,94,420.15,422.30,2.15,1,1,10.00,1,15,1.68,
7,7,16,94,16,94,420.15,424.60,4.45,1,1,10.00,1,10,3.96,
8,8,57,94,57,94,420.15,424.70,4.55,1,1,10.00,1,10,3.98,
9,9,77,94,77,94,420.15,424.70,4.55,1,1,10.00,1,0,3.92,
10,10,92,94,92,94,420.15,421.20,1.05,1,1,10.00,1,0,0.56,
11,11,16,94,16,94,420.23,424.90,4.67,1,1,10.00,1,0,3.96,
12,12,77,94,77,94,420.23,425.30,5.07,1,1,10.00,1,10,3.31,
13,13,57,94,57,94,420.23,425.10,4.87,1,1,10.00,1,0,3.98,
14,14,104,94,104,94,420.23,422.50,2.27,1,1,10.00,1,10,1.68,
15,15,92,94,92,94,420.23,421.30,1.07,1,1,10.00,1,5,0.56,
16,16,104,94,104,94,420.30,422.50,2.20,1,1,10.00,1,0,1.68,
17,17,77,94,77,94,420.30,425.00,4.70,1,1,10.00,1,15,3.92,
18,18,16,94,16,94,420.30,424.90,4.60,1,1,10.00,1,10,3.96,
19,19,92,94,92,94,420.30,421.30,1.00,1,1,10.00,1,0,0.56,
20,20,57,94,57,94,420.30,425.10,4.80,1,1,10.00,1,10,3.98,
21,21,92,94,92,94,420.38,421.40,1.02,1,1,10.00,1,10,0.56,
22,22,16,94,16,94,420.38,425.00,4.62,1,1,10.00,1,5,3.96,
23,23,104,94,104,94,420.38,422.60,2.22,1,1,10.00,1,5,1.68,
24,24,57,94,57,94,420.38,425.10,4.72,1,1,10.00,1,15,3.98,
25,25,77,94,77,94,420.38,425.10,4.72,1,1,10.00,1,10,3.92,
26,26,57,476,57,476,420.40,423.30,2.90,1,1,10.00,1,10,2.15,
27,27,57,94,57,94,420.45,425.20,4.75,1,1,10.00,1,5,3.98,
28,28,16,94,16,94,420.45,425.50,5.05,1,1,10.00,1,15,4.21,
29,29,104,94,104,94,420.45,422.60,2.15,1,1,10.00,1,15,1.68,
