time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_of_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
900,489,10,479,14670,3.93086,
901,1042,41,1001,16590,4.00011,
902,1599,108,1491,16710,4.0965,
903,2182,272,1910,17490,4.16261,
904,2710,587,2123,15840,4.15662,
905,3252,1046,2206,16260,4.29241,
906,3791,1611,2180,16170,4.64306,
907,4339,2168,2171,16440,4.49621,
908,4878,2714,2164,16170,5.10367,
909,5387,3233,2154,15270,4.40618,
910,5906,3760,2146,15570,4.93892,
911,6474,4284,2190,17040,4.55351,
912,6999,4818,2181,15750,4.89868,
913,7541,5354,2187,16260,5.13698,
914,8031,5882,2149,14700,4.51218,
915,8683,6399,2284,19560,5.07045,
916,9365,6935,2430,20460,5.60459,
917,10040,7448,2592,20250,4.95011,
918,10715,7981,2734,20250,5.66423,
919,11388,8569,2819,20190,5.51474,
920,12081,9171,2910,20790,5.71945,
921,12755,9812,2943,20220,5.72541,
922,13447,10472,2975,20760,5.79054,
923,14165,11147,3018,21540,6.14058,
924,14862,11816,3046,20910,6.70784,
925,15569,12489,3080,21210,6.49616,
926,16219,13145,3074,19500,6.85904,
927,16930,13786,3144,21330,6.77037,
928,17642,14492,3150,21360,6.76185,
929,18271,15171,3100,18870,7.47709,
930,19051,15834,3217,23400,7.68084,
931,19896,16519,3377,25350,7.8637,
932,20784,17211,3573,26640,7.79468,
933,21636,17887,3749,25560,8.11787,
934,22521,18584,3937,26550,8.65364,
935,23348,19314,4034,24810,8.87451,
936,24245,20074,4171,26910,8.9442,
937,25078,20878,4200,24990,9.07483,
938,25901,21656,4245,24690,9.91412,
939,26743,22437,4306,25260,9.01447,
940,27584,23231,4353,25230,9.55077,
941,28423,24011,4412,25170,10.1574,
942,29291,24804,4487,26040,11.0814,
943,30121,25620,4501,24900,10.7744,
944,30893,26424,4469,23160,11.0751,
945,31873,27228,4645,29400,10.8133,
946,32911,28042,4869,31140,12.674,
947,33926,28868,5058,30450,12.4652,
948,34990,29677,5313,31920,12.7201,
949,35982,30463,5519,29760,12.8308,
950,36982,31306,5676,30000,13.8253,
951,38005,32153,5852,30690,13.511,
952,39014,33014,6000,30270,14.6861,
953,39986,33866,6120,29160,14.4629,
954,40972,34693,6279,29580,14.6646,
955,42013,35541,6472,31230,15.3418,
956,43026,36381,6645,30390,15.9735,
957,44066,37222,6844,31200,15.4641,
958,45070,38058,7012,30120,17.8363,
959,46048,38892,7156,29340,18.0409,
960,47200,39721,7479,34560,18.4171,
961,48356,40564,7792,34680,19.2528,
962,49539,41405,8134,35490,18.929,
963,50703,42255,8448,34920,19.7905,
964,51853,43081,8772,34500,19.6269,
965,53037,43931,9106,35520,20.7614,
966,54203,44802,9401,34980,21.7576,
967,55393,45661,9732,35700,23.3106,
968,56581,46517,10064,35640,23.871,
969,57761,47387,10374,35400,23.3829,
970,58956,48241,10715,35850,23.5793,
971,60172,49093,11079,36480,25.4236,
972,61366,49962,11404,35820,26.2185,
973,62537,50831,11706,35130,26.0678,
974,63662,51692,11970,33750,28.5415,
975,64967,52560,12407,39150,28.7176,
976,66259,53417,12842,38760,27.5962,
977,67586,54268,13318,39810,29.7397,
978,68887,55127,13760,39030,29.8933,
979,70198,55986,14212,39330,31.1682,
980,71559,56845,14714,40830,31.1189,
981,72914,57725,15189,40650,32.9266,
982,74272,58594,15678,40740,32.2369,
983,75592,59464,16128,39600,32.7555,
984,76940,60359,16581,40440,35.2679,
985,78272,61240,17032,39960,34.1489,
986,79490,62119,17371,36540,35.5201,
987,80795,62994,17801,39150,35.7731,
988,82128,63866,18262,39990,36.9898,
989,83411,64750,18661,38490,37.2493,
990,84747,65636,19111,40080,38.2199,
991,86186,66510,19676,43170,37.4951,
992,87620,67380,20240,43020,39.7735,
993,89034,68256,20778,42420,38.8774,
994,90485,69105,21380,43530,40.8093,
995,91925,69983,21942,43200,40.8343,
996,93354,70872,22482,42870,41.2827,
997,94784,71757,23027,42900,42.0568,
998,96206,72648,23558,42660,43.1856,
999,97670,73535,24135,43920,43.0951,
1000,99152,74418,24734,44460,44.5156,
1001,100604,75298,25306,43560,45.0567,
1002,102024,76183,25841,42600,44.1108,
1003,103437,77066,26371,42390,45.792,
1004,104827,77954,26873,41700,46.8771,
1005,106233,78851,27382,42180,47.1289,
1006,107736,79747,27989,45090,47.6323,
1007,109270,80625,28645,46020,47.0751,
1008,110825,81518,29307,46650,48.6523,
1009,112271,82383,29888,43380,49.8717,
1010,113837,83258,30579,46980,48.8985,
1011,115317,84156,31161,44400,51.3447,
1012,116808,85040,31768,44730,49.365,
1013,118210,85927,32283,42060,51.2506,
1014,119710,86815,32895,45000,52.5005,
1015,121249,87715,33534,46170,51.6155,
1016,122750,88607,34143,45030,52.9902,
1017,124262,89500,34762,45360,52.8776,
1018,125753,90390,35363,44730,53.36,
1019,127162,91279,35883,42270,55.0682,
1020,128587,92171,36416,42750,55.7698,
1021,130107,93066,37041,45600,55.3256,
1022,131625,93955,37670,45540,54.1183,
1023,133079,94851,38228,43620,55.7864,
1024,134561,95714,38847,44460,56.5607,
1025,136149,96596,39553,47640,56.7704,
1026,137652,97492,40160,45090,56.471,
1027,139161,98381,40780,45270,56.2241,
1028,140632,99277,41355,44130,57.7947,
1029,142169,100170,41999,46110,58.7874,
1030,143670,101074,42596,45030,57.4401,
1031,145149,101969,43180,44370,59.5729,
1032,146683,102869,43814,46020,58.4129,
1033,148231,103737,44494,46440,59.5482,
1034,149647,104640,45007,42480,61.3807,
1035,151038,105528,45510,41730,61.3259,
1036,152488,106419,46069,43500,59.8106,
1037,153972,107318,46654,44520,61.5631,
1038,155433,108193,47240,43830,60.1904,
1039,156866,109063,47803,42990,62.18,
1040,158315,109954,48361,43470,60.9548,
1041,159785,110831,48954,44100,59.2666,
1042,161249,111722,49527,43920,62.3899,
1043,162709,112620,50089,43800,63.1257,
1044,164165,113508,50657,43680,62.4452,
1045,165646,114393,51253,44430,63.1417,
1046,167084,115280,51804,43140,62.9788,
1047,168572,116179,52393,44640,61.6882,
