Unit of output:
,,distance=,miles
,,speed=,mph
,,energy=,1000 joule
,,CO2,NOX,CO,HC,PM,PM2.5=,g
 , , , , , ,network, , , , , , , , , , , , , ,sov, , , , , , , , , , , , , ,hov, , , , , , , , , , , , , ,truck, , , , , , , , , , , , , ,intermodal, , , , , , , , , , , , , ,passenger_car, , , , , , , , , , , , , ,passenger_truck, , , , , , , , , , , , , ,light_commercial, , , , , , , , , , , , , ,single_unit_long_truck, , , , , , , , , , , , , ,combination_long_truck, , , , , , , , , , , , , ,OD1, , , , , , , , , , , , , ,OD2, , , , , , , , , , , , , ,link_48_41_ NB freeway, , , , , , , , , , , , , , , , , , , , ,link_39_44_NB freeway, , , , , , , , , , , , , , , , , , , , ,'Path1_Major freeway route, , , , , , , , , , , , , ,for all demand types, , , , , , , , , , , , , ,critical link list, , , , , , , , , , , , , , , , , , , , ,critical OD list, , , , , , , , , , , , , ,
scenario_no,scenario_name,scenario_data,number_of_iterations,day_no,traffic_flow_model,#_of_vehicles_network,percentage_network,avg_distance_network,avg_travel_time(min)_network,avg_speed_network,avg_toll_cost_network,avg_energy_network,avg_CO2_network,avg_NOX_network,avg_CO_network,avg_HC_network,avg_PM_network,avg_PM2_5_network,avg_MilesPerGallon_network,#_of_vehicles_sov,percentage_sov,avg_distance_sov,avg_travel_time(min)_sov,avg_speed_sov,avg_toll_cost_sov,avg_energy_sov,avg_CO2_sov,avg_NOX_sov,avg_CO_sov,avg_HC_sov,avg_PM_sov,avg_PM2_5_sov,avg_MilesPerGallon_sov,#_of_vehicles_hov,percentage_hov,avg_distance_hov,avg_travel_time(min)_hov,avg_speed_hov,avg_toll_cost_hov,avg_energy_hov,avg_CO2_hov,avg_NOX_hov,avg_CO_hov,avg_HC_hov,avg_PM_hov,avg_PM2_5_hov,avg_MilesPerGallon_hov,#_of_vehicles_truck,percentage_truck,avg_distance_truck,avg_travel_time(min)_truck,avg_speed_truck,avg_toll_cost_truck,avg_energy_truck,avg_CO2_truck,avg_NOX_truck,avg_CO_truck,avg_HC_truck,avg_PM_truck,avg_PM2_5_truck,avg_MilesPerGallon_truck,#_of_vehicles_intermodal,percentage_intermodal,avg_distance_intermodal,avg_travel_time(min)_intermodal,avg_speed_intermodal,avg_toll_cost_intermodal,avg_energy_intermodal,avg_CO2_intermodal,avg_NOX_intermodal,avg_CO_intermodal,avg_HC_intermodal,avg_PM_intermodal,avg_PM2_5_intermodal,avg_MilesPerGallon_intermodal,#_of_vehicles_passenger_car,percentage_passenger_car,avg_distance_passenger_car,avg_travel_time(min)_passenger_car,avg_speed_passenger_car,avg_toll_cost_passenger_car,avg_energy_passenger_car,avg_CO2_passenger_car,avg_NOX_passenger_car,avg_CO_passenger_car,avg_HC_passenger_car,avg_PM_passenger_car,avg_PM2_5_passenger_car,avg_MilesPerGallon_passenger_car,#_of_vehicles_passenger_truck,percentage_passenger_truck,avg_distance_passenger_truck,avg_travel_time(min)_passenger_truck,avg_speed_passenger_truck,avg_toll_cost_passenger_truck,avg_energy_passenger_truck,avg_CO2_passenger_truck,avg_NOX_passenger_truck,avg_CO_passenger_truck,avg_HC_passenger_truck,avg_PM_passenger_truck,avg_PM2_5_passenger_truck,avg_MilesPerGallon_passenger_truck,#_of_vehicles_light_commercial,percentage_light_commercial,avg_distance_light_commercial,avg_travel_time(min)_light_commercial,avg_speed_light_commercial,avg_toll_cost_light_commercial,avg_energy_light_commercial,avg_CO2_light_commercial,avg_NOX_light_commercial,avg_CO_light_commercial,avg_HC_light_commercial,avg_PM_light_commercial,avg_PM2_5_light_commercial,avg_MilesPerGallon_light_commercial,#_of_vehicles_single_unit_long_truck,percentage_single_unit_long_truck,avg_distance_single_unit_long_truck,avg_travel_time(min)_single_unit_long_truck,avg_speed_single_unit_long_truck,avg_toll_cost_single_unit_long_truck,avg_energy_single_unit_long_truck,avg_CO2_single_unit_long_truck,avg_NOX_single_unit_long_truck,avg_CO_single_unit_long_truck,avg_HC_single_unit_long_truck,avg_PM_single_unit_long_truck,avg_PM2_5_single_unit_long_truck,avg_MilesPerGallon_single_unit_long_truck,#_of_vehicles_combination_long_truck,percentage_combination_long_truck,avg_distance_combination_long_truck,avg_travel_time(min)_combination_long_truck,avg_speed_combination_long_truck,avg_toll_cost_combination_long_truck,avg_energy_combination_long_truck,avg_CO2_combination_long_truck,avg_NOX_combination_long_truck,avg_CO_combination_long_truck,avg_HC_combination_long_truck,avg_PM_combination_long_truck,avg_PM2_5_combination_long_truck,avg_MilesPerGallon_combination_long_truck,#_of_vehicles_OD1,percentage_OD1,avg_distance_OD1,avg_travel_time(min)_OD1,avg_speed_OD1,avg_toll_cost_OD1,avg_energy_OD1,avg_CO2_OD1,avg_NOX_OD1,avg_CO_OD1,avg_HC_OD1,avg_PM_OD1,avg_PM2_5_OD1,avg_MilesPerGallon_OD1,#_of_vehicles_OD2,percentage_OD2,avg_distance_OD2,avg_travel_time(min)_OD2,avg_speed_OD2,avg_toll_cost_OD2,avg_energy_OD2,avg_CO2_OD2,avg_NOX_OD2,avg_CO_OD2,avg_HC_OD2,avg_PM_OD2,avg_PM2_5_OD2,avg_MilesPerGallon_OD2,#_of_vehicles_link_48_41_ NB freeway,percentage_link_48_41_ NB freeway,avg_distance_link_48_41_ NB freeway,avg_travel_time(min)_link_48_41_ NB freeway,avg_speed_link_48_41_ NB freeway,avg_toll_cost_link_48_41_ NB freeway,avg_energy_link_48_41_ NB freeway,avg_CO2_link_48_41_ NB freeway,avg_NOX_link_48_41_ NB freeway,avg_CO_link_48_41_ NB freeway,avg_HC_link_48_41_ NB freeway,avg_PM_link_48_41_ NB freeway,avg_PM2_5_link_48_41_ NB freeway,avg_MilesPerGallon_link_48_41_ NB freeway,SOV_volumelink_48_41_ NB freeway,HOV_volumelink_48_41_ NB freeway,Truck_volumelink_48_41_ NB freeway,Intermodal_volumelink_48_41_ NB freeway,number_of_crashes_per_yearlink_48_41_ NB freeway,number_of_fatal_and_injury_crashes_per_yearlink_48_41_ NB freeway,number_of_property_damage_only_crashes_per_yearlink_48_41_ NB freeway,#_of_vehicles_link_39_44_NB freeway,percentage_link_39_44_NB freeway,avg_distance_link_39_44_NB freeway,avg_travel_time(min)_link_39_44_NB freeway,avg_speed_link_39_44_NB freeway,avg_toll_cost_link_39_44_NB freeway,avg_energy_link_39_44_NB freeway,avg_CO2_link_39_44_NB freeway,avg_NOX_link_39_44_NB freeway,avg_CO_link_39_44_NB freeway,avg_HC_link_39_44_NB freeway,avg_PM_link_39_44_NB freeway,avg_PM2_5_link_39_44_NB freeway,avg_MilesPerGallon_link_39_44_NB freeway,SOV_volumelink_39_44_NB freeway,HOV_volumelink_39_44_NB freeway,Truck_volumelink_39_44_NB freeway,Intermodal_volumelink_39_44_NB freeway,number_of_crashes_per_yearlink_39_44_NB freeway,number_of_fatal_and_injury_crashes_per_yearlink_39_44_NB freeway,number_of_property_damage_only_crashes_per_yearlink_39_44_NB freeway,#_of_vehicles_'Path1_Major freeway route,percentage_'Path1_Major freeway route,avg_distance_'Path1_Major freeway route,avg_travel_time(min)_'Path1_Major freeway route,avg_speed_'Path1_Major freeway route,avg_toll_cost_'Path1_Major freeway route,avg_energy_'Path1_Major freeway route,avg_CO2_'Path1_Major freeway route,avg_NOX_'Path1_Major freeway route,avg_CO_'Path1_Major freeway route,avg_HC_'Path1_Major freeway route,avg_PM_'Path1_Major freeway route,avg_PM2_5_'Path1_Major freeway route,avg_MilesPerGallon_'Path1_Major freeway route,#_of_vehicles_for all demand types,percentage_for all demand types,avg_distance_for all demand types,avg_travel_time(min)_for all demand types,avg_speed_for all demand types,avg_toll_cost_for all demand types,avg_energy_for all demand types,avg_CO2_for all demand types,avg_NOX_for all demand types,avg_CO_for all demand types,avg_HC_for all demand types,avg_PM_for all demand types,avg_PM2_5_for all demand types,avg_MilesPerGallon_for all demand types,#_of_vehicles_critical link list,percentage_critical link list,avg_distance_critical link list,avg_travel_time(min)_critical link list,avg_speed_critical link list,avg_toll_cost_critical link list,avg_energy_critical link list,avg_CO2_critical link list,avg_NOX_critical link list,avg_CO_critical link list,avg_HC_critical link list,avg_PM_critical link list,avg_PM2_5_critical link list,avg_MilesPerGallon_critical link list,SOV_volumecritical link list,HOV_volumecritical link list,Truck_volumecritical link list,Intermodal_volumecritical link list,number_of_crashes_per_yearcritical link list,number_of_fatal_and_injury_crashes_per_yearcritical link list,number_of_property_damage_only_crashes_per_yearcritical link list,#_of_vehicles_critical OD list,percentage_critical OD list,avg_distance_critical OD list,avg_travel_time(min)_critical OD list,avg_speed_critical OD list,avg_toll_cost_critical OD list,avg_energy_critical OD list,avg_CO2_critical OD list,avg_NOX_critical OD list,avg_CO_critical OD list,avg_HC_critical OD list,avg_PM_critical OD list,avg_PM2_5_critical OD list,avg_MilesPerGallon_critical OD list,
 , , , ,1, ,76163,7.6163e+06,3.07587,48.7102,3.78878,0,0,0,0,23213.8,0,0,0,0,76163,7.6163e+06,3.07587,48.7102,3.78878,0,0,0,0,23213.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.07587,48.7102,3.78878,0,0,0,0,23213.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,18500,3.34924,72.6188,2.76725,0,0,0,0,33769.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.07587,48.7102,3.78878,0,0,0,0,23213.8,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.07587,48.7102,3.78878,0,0,0,0,23213.8,0,0,0,0,
 , , , ,2, ,76163,7.6163e+06,3.08296,44.2903,4.17649,0,0,0,0,21347.4,0,0,0,0,76163,7.6163e+06,3.08296,44.2903,4.17649,0,0,0,0,21347.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.08296,44.2903,4.17649,0,0,0,0,21347.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,18500,3.35354,66.514,3.02512,0,0,0,0,31181.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.08296,44.2903,4.17649,0,0,0,0,21347.4,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.08296,44.2903,4.17649,0,0,0,0,21347.4,0,0,0,0,
 , , , ,3, ,76163,7.6163e+06,3.08928,40.4252,4.58518,0,0,0,0,19716.5,0,0,0,0,76163,7.6163e+06,3.08928,40.4252,4.58518,0,0,0,0,19716.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.08928,40.4252,4.58518,0,0,0,0,19716.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,18500,3.36488,59.6848,3.38265,0,0,0,0,28293.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.08928,40.4252,4.58518,0,0,0,0,19716.5,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.08928,40.4252,4.58518,0,0,0,0,19716.5,0,0,0,0,
 , , , ,4, ,76163,7.6163e+06,3.09786,37.0083,5.02243,0,0,0,0,18276,0,0,0,0,76163,7.6163e+06,3.09786,37.0083,5.02243,0,0,0,0,18276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.09786,37.0083,5.02243,0,0,0,0,18276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,18500,3.36975,53.4469,3.78292,0,0,0,0,25652.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.09786,37.0083,5.02243,0,0,0,0,18276,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.09786,37.0083,5.02243,0,0,0,0,18276,0,0,0,0,
 , , , ,5, ,76163,7.6163e+06,3.10686,33.8431,5.50812,0,0,0,0,16942.9,0,0,0,0,76163,7.6163e+06,3.10686,33.8431,5.50812,0,0,0,0,16942.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.10686,33.8431,5.50812,0,0,0,0,16942.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,18500,3.3877,48.9475,4.15266,0,0,0,0,23759.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.10686,33.8431,5.50812,0,0,0,0,16942.9,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.10686,33.8431,5.50812,0,0,0,0,16942.9,0,0,0,0,
 , , , ,6, ,76163,7.6163e+06,3.11627,31.0171,6.02815,0,0,0,0,15753.9,0,0,0,0,76163,7.6163e+06,3.11627,31.0171,6.02815,0,0,0,0,15753.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.11627,31.0171,6.02815,0,0,0,0,15753.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,18500,3.40641,44.694,4.57298,0,0,0,0,21969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.11627,31.0171,6.02815,0,0,0,0,15753.9,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.11627,31.0171,6.02815,0,0,0,0,15753.9,0,0,0,0,
 , , , ,7, ,76163,7.6163e+06,3.12423,28.5317,6.57003,0,0,0,0,14707.3,0,0,0,0,76163,7.6163e+06,3.12423,28.5317,6.57003,0,0,0,0,14707.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.12423,28.5317,6.57003,0,0,0,0,14707.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,18500,3.41859,40.2107,5.10101,0,0,0,0,20078.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.12423,28.5317,6.57003,0,0,0,0,14707.3,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.12423,28.5317,6.57003,0,0,0,0,14707.3,0,0,0,0,
 , , , ,8, ,76163,7.6163e+06,3.13161,26.2542,7.15681,0,0,0,0,13748.9,0,0,0,0,76163,7.6163e+06,3.13161,26.2542,7.15681,0,0,0,0,13748.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.13161,26.2542,7.15681,0,0,0,0,13748.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,18500,3.42778,35.4199,5.80653,0,0,0,0,18055.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.13161,26.2542,7.15681,0,0,0,0,13748.9,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.13161,26.2542,7.15681,0,0,0,0,13748.9,0,0,0,0,
 , , , ,9, ,76163,7.6163e+06,3.1397,24.2654,7.76341,0,0,0,0,12913.3,0,0,0,0,76163,7.6163e+06,3.1397,24.2654,7.76341,0,0,0,0,12913.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.1397,24.2654,7.76341,0,0,0,0,12913.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,18500,3.44258,31.3107,6.59693,0,0,0,0,16323.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.1397,24.2654,7.76341,0,0,0,0,12913.3,0,0,0,0,0,0,0,0,0,0,0,76163,7.6163e+06,3.1397,24.2654,7.76341,0,0,0,0,12913.3,0,0,0,0,
